"","Noms","Date","PMQUANDL.GINI.V1"
"1","DEU",1981,28.13
"2","DEU",1983,28.46
"3","DEU",1984,29.21
"4","DEU",1989,28.61
"5","DEU",1994,30.01
"6","DEU",2000,29.44
"7","DEU",2004,31.5
"8","DEU",2005,32.78
"9","DEU",2006,NA
"10","DEU",2007,32.4
"11","DEU",2008,31.29
"12","DEU",2009,31.51
"13","DEU",2010,31.14
"14","DEU",2011,30.13
"15","AUT",1987,23.04
"16","AUT",1994,31.52
"17","AUT",1995,31.06
"18","AUT",1997,30.28
"19","AUT",2000,28.97
"20","AUT",2004,29.87
"21","AUT",2005,28.72
"22","AUT",2006,29.59
"23","AUT",2007,30.58
"24","AUT",2008,30.45
"25","AUT",2009,31.5
"26","AUT",2010,30.25
"27","AUT",2011,30.8
"28","AUT",2012,30.48
"29","CAN",1981,32.6
"30","CAN",1987,31.6
"31","CAN",1991,31.15
"32","CAN",1994,31.39
"33","CAN",1997,31.77
"34","CAN",1998,33.59
"35","CAN",2000,33.65
"36","CAN",2004,33.88
"37","CAN",2007,33.9
"38","CAN",2010,33.68
"39","MEX",1984,48.95
"40","MEX",1989,54.34
"41","MEX",1992,50.95
"42","MEX",1994,51.7
"43","MEX",1996,48.47
"44","MEX",1998,48.97
"45","MEX",2000,51.67
"46","MEX",2002,49.54
"47","MEX",2004,46.03
"48","MEX",2005,51.11
"49","MEX",2006,48.01
"50","MEX",2008,48.23
"51","MEX",2010,48.13
"52","MEX",2012,48.07
"53","PER",1985,99.91
"54","PER",1986,45.72
"55","PER",1994,44.02
"56","PER",1997,53.72
"57","PER",1998,56.14
"58","PER",1999,56.34
"59","PER",2000,50.77
"60","PER",2001,51.83
"61","PER",2002,54.04
"62","PER",2003,53.71
"63","PER",2004,51.2
"64","PER",2005,51.84
"65","PER",2006,51.67
"66","PER",2007,51.35
"67","PER",2008,48.55
"68","PER",2009,47.96
"69","PER",2010,46.21
"70","PER",2011,45.48
"71","PER",2012,45.11
"72","PER",2013,44.73
